Sample,Type_age,Region,Locality,Family,genus,MajorAxisLength,MinorAxisLength,oto_length_mm,oto_length_um
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,90.59169494,100.1538601,0.905916949,905.9169494
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,90.6316213,75.55856436,0.906316213,906.316213
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,90.7327504,89.11144043,0.907327504,907.327504
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,90.89424357,62.45888965,0.908942436,908.9424357
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,90.90080846,79.37353682,0.909008085,909.0080846
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,90.93588692,81.51236313,0.909358869,909.3588692
AT14-3-4,Sub Recent,Bocas,Cayo Adriana,Gobiidae,NA,91.07251468,77.16136502,0.910725147,910.7251468
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,91.10740688,79.26555321,0.911074069,911.0740688
AT12-3-2-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,91.14943062,76.95879027,0.911494306,911.4943062
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,91.1584193,71.78143957,0.911584193,911.584193
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,91.25540012,66.197205,0.912554001,912.5540012
AT12-4-4-2,Sub Recent,Bocas,SW Bocas Island,Gobiidae,NA,91.25818921,69.68643925,0.912581892,912.5818921
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,91.2895733,71.52025208,0.912895733,912.895733
AT12-1-2-2,Sub Recent,Bocas,STRI Point,Gobiidae,NA,91.49173475,49.48533701,0.914917348,914.9173475
