Family,MajorAxisLength,MinorAxisLength,Sample,Oto length (mm),Oto length (um),Type age,Region,Locality
Gobiidae,100.93281,76.7282525,AT14-2-2,1.0093281,1009.3281,Sub Recent,Bocas,Punta Donato
Gobiidae,100.9890196,65.17671411,AT14-2-2,1.009890196,1009.890196,Sub Recent,Bocas,Punta Donato
Gobiidae,101.0162367,72.4800951,AT14-2-2,1.010162367,1010.162367,Sub Recent,Bocas,Punta Donato
Gobiidae,101.0456721,81.53406753,AT12-4-4-2,1.010456721,1010.456721,Sub Recent,Bocas,SW Bocas Island
Gobiidae,101.1330843,77.43034356,AT14-1-2,1.011330843,1011.330843,Sub Recent,Bocas,Casa Blanca new
Gobiidae,101.1441006,86.42037244,AT14-2-2,1.011441006,1011.441006,Sub Recent,Bocas,Punta Donato
Gobiidae,101.1696526,84.77887122,AT12-4-4-2,1.011696526,1011.696526,Sub Recent,Bocas,SW Bocas Island
Gobiidae,101.1736837,82.89214639,AT14-1-2,1.011736837,1011.736837,Sub Recent,Bocas,Casa Blanca new
Gobiidae,101.2043683,84.41582536,AT12-3-3-1,1.012043683,1012.043683,Sub Recent,Bocas,Playa Estrella
Gobiidae,101.2328124,67.39252661,AT14-2-2,1.012328124,1012.328124,Sub Recent,Bocas,Punta Donato
Gobiidae,101.2434841,83.15976508,AT14-1-8,1.012434841,1012.434841,Sub Recent,Bocas,Casa Blanca new
Gobiidae,101.2483042,81.6608674,AT12-3-2-1,1.012483042,1012.483042,Sub Recent,Bocas,Playa Estrella
Gobiidae,101.2723253,76.17580492,AT14-2-2,1.012723253,1012.723253,Sub Recent,Bocas,Punta Donato
Gobiidae,101.4365886,83.39909347,AT14-2-2,1.014365886,1014.365886,Sub Recent,Bocas,Punta Donato
Gobiidae,101.4596565,87.17020903,AT14-1-2,1.014596565,1014.596565,Sub Recent,Bocas,Casa Blanca new
Gobiidae,101.5018108,87.51585511,AT14-2-1,1.015018108,1015.018108,Sub Recent,Bocas,Punta Donato
Gobiidae,101.5876537,87.87733247,AT12-1-2-2,1.015876537,1015.876537,Sub Recent,Bocas,STRI Point
Gobiidae,101.5891295,83.42270492,AT12-1-4-1,1.015891295,1015.891295,Sub Recent,Bocas,STRI Point
Gobiidae,101.6295545,85.02387125,AT14-1-2,1.016295545,1016.295545,Sub Recent,Bocas,Casa Blanca new
Gobiidae,101.6625969,95.24787648,AT12-1-4-1,1.016625969,1016.625969,Sub Recent,Bocas,STRI Point
Gobiidae,101.6696855,82.41036312,AT12-1-2-2,1.016696855,1016.696855,Sub Recent,Bocas,STRI Point
Gobiidae,101.6847494,88.42369598,AT12-1-1-1,1.016847494,1016.847494,Sub Recent,Bocas,STRI Point
Gobiidae,101.715041,79.02178869,AT14-2-2,1.01715041,1017.15041,Sub Recent,Bocas,Punta Donato
Gobiidae,101.7270583,90.5016854,AT12-1-2-2,1.017270583,1017.270583,Sub Recent,Bocas,STRI Point
Gobiidae,101.7636838,89.20748218,AT12-4-3-1,1.017636838,1017.636838,Sub Recent,Bocas,SW Bocas Island
Gobiidae,101.8953762,84.65498309,AT14-2-2,1.018953762,1018.953762,Sub Recent,Bocas,Punta Donato
Gobiidae,101.898716,90.08087331,AT12-1-2-2,1.01898716,1018.98716,Sub Recent,Bocas,STRI Point
Gobiidae,101.9201078,85.65375898,AT12-1-2-2,1.019201078,1019.201078,Sub Recent,Bocas,STRI Point
Gobiidae,101.9798582,82.52655674,AT12-1-4-1,1.019798582,1019.798582,Sub Recent,Bocas,STRI Point
Gobiidae,101.9828247,79.67304852,AT12-4-3-1,1.019828247,1019.828247,Sub Recent,Bocas,SW Bocas Island
Gobiidae,102.0325402,81.37357258,AT14-3-4,1.020325402,1020.325402,Sub Recent,Bocas,Cayo Adriana
Gobiidae,102.037636,64.58190586,AT14-2-1,1.02037636,1020.37636,Sub Recent,Bocas,Punta Donato
Gobiidae,102.2157784,89.27217415,AT12-1-3-1,1.022157784,1022.157784,Sub Recent,Bocas,STRI Point
Gobiidae,102.2205051,95.14598868,AT14-2-2,1.022205051,1022.205051,Sub Recent,Bocas,Punta Donato
Gobiidae,102.3116233,88.52226796,AT14-3-6,1.023116233,1023.116233,Sub Recent,Bocas,Cayo Adriana
Gobiidae,102.3127995,90.29086599,AT12-4-4-2,1.023127995,1023.127995,Sub Recent,Bocas,SW Bocas Island
Gobiidae,102.4399699,83.29150211,AT12-1-2-2,1.024399699,1024.399699,Sub Recent,Bocas,STRI Point
Gobiidae,102.4536391,86.94773801,AT12-3-2-1,1.024536391,1024.536391,Sub Recent,Bocas,Playa Estrella
Gobiidae,102.4899299,82.70581993,AT12-1-3-1,1.024899299,1024.899299,Sub Recent,Bocas,STRI Point
Gobiidae,102.5143418,83.32888885,AT14-3-6,1.025143418,1025.143418,Sub Recent,Bocas,Cayo Adriana
Gobiidae,102.5784714,89.74195261,AT12-4-4-2,1.025784714,1025.784714,Sub Recent,Bocas,SW Bocas Island
Gobiidae,102.6503588,89.70421227,AT12-3-3-1,1.026503588,1026.503588,Sub Recent,Bocas,Playa Estrella
Gobiidae,102.8259396,73.44158488,AT12-1-4-1,1.028259396,1028.259396,Sub Recent,Bocas,STRI Point
Gobiidae,102.8383515,95.09241296,AT14-2-1,1.028383515,1028.383515,Sub Recent,Bocas,Punta Donato
Gobiidae,102.8435928,84.37975599,AT14-1-8,1.028435928,1028.435928,Sub Recent,Bocas,Casa Blanca new
Gobiidae,103.1073976,79.95610529,AT12-1-4-1,1.031073976,1031.073976,Sub Recent,Bocas,STRI Point
Gobiidae,103.4981327,92.92299595,AT14-2-2,1.034981327,1034.981327,Sub Recent,Bocas,Punta Donato
Gobiidae,103.5608814,93.08754807,AT12-1-3-1,1.035608814,1035.608814,Sub Recent,Bocas,STRI Point
Gobiidae,103.6276305,91.88564282,AT12-3-3-1,1.036276305,1036.276305,Sub Recent,Bocas,Playa Estrella
Gobiidae,103.7192363,93.05322577,AT14-2-2,1.037192363,1037.192363,Sub Recent,Bocas,Punta Donato
Gobiidae,103.7598617,94.2450797,AT12-1-2-1,1.037598617,1037.598617,Sub Recent,Bocas,STRI Point
Gobiidae,103.7888834,60.98970761,AT14-2-2,1.037888834,1037.888834,Sub Recent,Bocas,Punta Donato
Gobiidae,103.8234504,96.44782445,AT12-4-4-2,1.038234504,1038.234504,Sub Recent,Bocas,SW Bocas Island
Gobiidae,103.9424917,87.2536008,AT12-4-2-1,1.039424917,1039.424917,Sub Recent,Bocas,SW Bocas Island
Gobiidae,103.9973264,86.39377764,AT12-4-4-2,1.039973264,1039.973264,Sub Recent,Bocas,SW Bocas Island
Gobiidae,104.0283546,87.20106561,AT12-3-3-1,1.040283546,1040.283546,Sub Recent,Bocas,Playa Estrella
Gobiidae,104.27536,91.50388663,AT12-3-2-1,1.0427536,1042.7536,Sub Recent,Bocas,Playa Estrella
Gobiidae,104.2762968,85.38945854,AT12-1-3-1,1.042762968,1042.762968,Sub Recent,Bocas,STRI Point
Gobiidae,104.2884833,90.17421041,AT12-4-3-1,1.042884833,1042.884833,Sub Recent,Bocas,SW Bocas Island
Gobiidae,104.2944493,89.94754677,AT12-4-4-2,1.042944493,1042.944493,Sub Recent,Bocas,SW Bocas Island
Gobiidae,104.392884,88.243226,AT12-1-4-1,1.04392884,1043.92884,Sub Recent,Bocas,STRI Point
Gobiidae,104.4000303,91.42344867,AT12-1-4-1,1.044000303,1044.000303,Sub Recent,Bocas,STRI Point
Gobiidae,104.4167757,69.14449143,AT14-2-2,1.044167757,1044.167757,Sub Recent,Bocas,Punta Donato
Gobiidae,104.4970523,94.41895513,AT12-1-2-1,1.044970523,1044.970523,Sub Recent,Bocas,STRI Point
Gobiidae,104.5587504,90.17521566,AT12-1-4-1,1.045587504,1045.587504,Sub Recent,Bocas,STRI Point
