"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm"
"128","Bregmacerotidae","AT14-2-5",1.381392832,1381.392832,"Sub Recent","Bocas","Punta Donato","orig_df",1.208743771,6.74965724041051
"129","Bregmacerotidae","AT13-10-1-1",1.532034122,1532.034122,"Sub Recent","Bocas","Punta Caracol","orig_df",1.415306399,7.31323537464063
"130","Engraulidae","AT12-1-3-1",1.312643171,1312.643171,"Sub Recent","Bocas","STRI Point","orig_df",0.9616788971,4.39089947964209
"131","Engraulidae","AT13-10-1-2",1.344890509,1344.890509,"Sub Recent","Bocas","Punta Caracol","orig_df",0.7619573841,4.51142538399844
"132","Engraulidae","AT14-3-1",1.451838414,1451.838414,"Sub Recent","Bocas","Cayo Adriana","orig_df",0.9771840291,4.91350812963911
"133","Engraulidae","AT12-1-3-1",1.469008697,1469.008697,"Sub Recent","Bocas","STRI Point","orig_df",0.9032799001,4.97838861134002
"134","Engraulidae","AT13-10-1-1",1.486565444,1486.565444,"Sub Recent","Bocas","Punta Caracol","orig_df",1.037232192,5.04482022608679
"135","Engraulidae","AT13-10-1-2",1.492078974,1492.078974,"Sub Recent","Bocas","Punta Caracol","orig_df",1.013456497,5.06570124096307
"136","Engraulidae","AT13-10-1-1",1.525905849,1525.905849,"Sub Recent","Bocas","Punta Caracol","orig_df",1.056190069,5.19400589957706
"137","Engraulidae","AT13-10-1-1",1.581430642,1581.430642,"Sub Recent","Bocas","Punta Caracol","orig_df",0.868039851,5.4053220846163
"138","Engraulidae","AT14-2-2",1.62425385,1624.25385,"Sub Recent","Bocas","Punta Donato","orig_df",1.286522115,5.56888786421897
"139","Engraulidae","AT14-2-2",1.695430619,1695.430619,"Sub Recent","Bocas","Punta Donato","orig_df",1.105713601,5.84185230082982
"140","Engraulidae","AT14-1-2",1.697241615,1697.241615,"Sub Recent","Bocas","Casa Blanca","orig_df",1.008689619,5.84881506953213
"141","Engraulidae","AT14-2-2",1.698911526,1698.911526,"Sub Recent","Bocas","Punta Donato","orig_df",1.023164099,5.85523616835615
